[00:05:21 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:38 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:40 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:42 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:42 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:43 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:44 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:44 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:44 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:45 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:45 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:46 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:46 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:47 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:47 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:48 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:48 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:49 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:49 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:49 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:50 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:50 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:51 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:51 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:52 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:52 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:53 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:53 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:53 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:54 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:54 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:55 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:55 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:56 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:56 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:56 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:57 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:57 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:58 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:58 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:59 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:05:59 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:00 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:00 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:00 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:01 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:01 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:02 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:02 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:03 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:03 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:04 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:04 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:04 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:05 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:05 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:06 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:06 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:07 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:07 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:08 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:08 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:08 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:09 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:09 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:10 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:10 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:11 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:11 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:12 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:12 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:12 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:13 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:13 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:14 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:14 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:15 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:15 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:16 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:16 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:16 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:17 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:17 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:18 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:18 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:19 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:19 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:20 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:20 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:20 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:21 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:21 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:22 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:22 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:23 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:23 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
[00:06:24 12/01/2026] Player: gwendevstudio | Shop Type: Normal Shop | Quantity: 1
